listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name,Simplified_Genres
Clipse,44,exact_text,1.0,e6424fa5-08d3-41c6-96f3-8549f733708c,Clipse,Clipse,Hip-Hop
Clay Aiken,44,exact_text,1.0,a25f3156-ef58-4c07-9927-ce18bd6e103b,Clay Aiken,Clay Aiken,"Pop, R&B"
Kellie Pickler,44,exact_text,1.0,4c567ed6-8bc9-447a-bbd5-1dce18e4ee81,Kellie Pickler,Kellie Pickler,Country
Alex Clare,44,exact_text,1.0,e8c8a3c3-29b6-421e-b977-fb6796231d41,Alex Clare,Alex Clare,"Electronic, Pop, R&B, Rock"
Fifth Harmony,44,exact_text,1.0,e565610b-9a8f-451d-b594-ea658d76f725,Fifth Harmony,Fifth Harmony,"Pop, R&B"
Vance Joy,44,exact_text,1.0,df36f6db-5987-46ed-9d02-0cf36ed4e060,Vance Joy,Vance Joy,Country
Lil Mosey,44,exact_text,1.0,330e00e4-7991-4b47-b2be-3881aa5afed6,Lil Mosey,Lil Mosey,Hip-Hop
The Tremeloes,43,exact_text,1.0,7483db08-1e77-4ac6-9a85-702b2a9bd701,The Tremeloes,The Tremeloes,"Pop, Rock"
Canned Heat,43,exact_text,1.0,815a0279-558c-4522-ac3b-6a1e259e95b5,Canned Heat,Canned Heat,Rock
Funkadelic,43,exact_text,1.0,cf042013-3edd-46c4-9b0e-a62faac98d0b,Funkadelic,Funkadelic,Rock
Leon Russell,43,exact_text,1.0,d4cc0ed5-0f76-4188-9e14-2a23ca12188a,Leon Russell,Leon Russell,"Country, R&B, Rock"
Suzi Quatro,43,exact_text,1.0,2c16cb3f-e85f-4158-889f-ffc038f5792d,Suzi Quatro,Suzi Quatro,"Pop, Rock"
Cheryl Lynn,43,exact_text,1.0,c2b8f775-455c-44c3-97ca-f377938da19e,Cheryl Lynn,Cheryl Lynn,"Pop, R&B"
Pete Townshend,43,exact_text,1.0,fb147b8f-0144-4418-acaa-90b2d9779840,Pete Townshend,Pete Townshend,"Jazz, Pop, Rock"
Devo,43,exact_text,1.0,d2db1078-c170-4e22-b261-14f3ad60a690,DEVO,DEVO,"Pop, Rock"
Soft Cell,43,exact_text,1.0,7fb50287-029d-47cc-825a-235ca28024b2,Soft Cell,Soft Cell,"Pop, Rock"
Starpoint,43,exact_text,1.0,89453d7b-e871-4658-9f57-c33f3cf11eab,Starpoint,Starpoint,"Hip-Hop, Pop, R&B"
Elisa Fiorillo,43,exact_text,1.0,a97989eb-fd49-4b0b-9e4c-227e17c7f4c3,Elisa Fiorillo,Elisa Fiorillo,R&B
Basia,43,exact_text,1.0,34de4678-044a-486a-a741-4c740025374a,Basia,Basia,"Jazz, Pop, R&B"
Digital Underground,43,exact_text,1.0,ff6cb06c-a6e5-4ab9-a5ce-fa2095be45b9,Digital Underground,Digital Underground,"Hip-Hop, R&B"
Ralph Tresvant,43,exact_text,1.0,de2ddcdd-66ff-487c-9537-560153200a4e,Ralph Tresvant,Ralph Tresvant,"Hip-Hop, R&B"
Echosmith,43,exact_text,1.0,53317371-09a4-4bf4-a832-22a9c6704be2,Echosmith,Echosmith,"Pop, Rock"
Yo Gotti Featuring Nicki Minaj,43,exact_text,1.0,b02ec63e-e78d-43e5-a594-462e95036e8d,Yo Gotti,Yo Gotti,Hip-Hop
Wanda Jackson,42,exact_text,1.0,550fbe01-42e9-4006-bcd0-6a1854dceb8f,Wanda Jackson,Wanda Jackson,"Country, R&B, Rock"
Shirley Bassey,42,exact_text,1.0,05ec70a5-3858-4346-a649-fda0a297b8c1,Shirley Bassey,Shirley Bassey,"Jazz, Pop, R&B"
Chris Rea,42,exact_text,1.0,c707b37e-cb5c-4694-be4d-46beefcb2475,Chris Rea,Chris Rea,"Jazz, Pop"
Randy Meisner,42,exact_text,1.0,1798d7ba-fc22-4cca-bbda-7542ab5a3c67,Randy Meisner,Randy Meisner,"Country, Pop, Rock"
Baltimora,42,exact_text,1.0,15b4aace-6126-402a-96f8-131a943ce20e,Baltimora,Baltimora,"Electronic, Rock"
Midnight Oil,42,exact_text,1.0,05072650-4b05-4e8b-83d0-dba2576e306a,Midnight Oil,Midnight Oil,Rock
Haddaway,42,exact_text,1.0,6508cf1d-4da2-4d71-81ec-0e072338991f,Haddaway,Haddaway,Pop
Kid Cudi,42,exact_text,1.0,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,Kid Cudi,Kid Cudi,"Electronic, Hip-Hop, R&B, Rock"
LoCash,42,exact_text,1.0,dbe56668-02e3-42ff-9943-a7fa9711696b,LOCASH,LOCASH,Country
