listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name
Chico DeBarge,33,exact_text,1.0,1c8b2b9d-5cab-43ec-b6a4-0a7e35bbd0a9,Chico DeBarge,Chico DeBarge
Living Colour,33,exact_text,1.0,dc6f8c1f-626b-42b0-9115-7e66ae4cecd6,Living Colour,Living Colour
L.A. Guns,33,exact_text,1.0,87684162-ab42-4cfa-bf22-ebe237035f54,L.A. Guns,L.A. Guns
Deee-Lite,33,fuzzy,0.9412,83d401e8-3322-4491-98d3-ec3a567c5047,Deee‐Lite,Deee‐Lite
N2Deep,33,exact_text,1.0,6b5819e2-eb7c-4160-8ffa-e52ac17480b1,N2Deep,N2Deep
U.N.V.,33,exact_text,1.0,658b03d7-bc8c-445c-be3c-254317e0c6b7,U.N.V.,U.N.V.
Artie The 1 Man Party,33,fuzzy,0.9091,53dddb84-3a2c-4deb-8e79-f434fe9ceb0f,Artie the One Man Party,Artie the One Man Party
3T,33,exact_text,1.0,8275ed69-a0f8-4bad-b6e0-2c57d306e593,3T,3T
Freak Nasty,33,exact_text,1.0,ee66b0a0-b330-41ca-99b1-0998a483b572,Freak Nasty,Freak Nasty
Aqua,33,exact_text,1.0,a1ed5e33-22ff-4e7d-a457-42f4309e135f,Aqua,Aqua
Everlast,33,exact_text,1.0,ca39d50f-9885-420e-88d6-9c3f64038773,Everlast,Everlast
Norah Jones,33,exact_text,1.0,985c709c-7771-4de3-9024-7bda29ebe3f9,Norah Jones,Norah Jones
Baby Bash Featuring Frankie J,33,exact_text,1.0,1fe6717a-73b5-4e70-82c5-6b83a08c997d,Baby Bash,Baby Bash
Jack Ingram,33,exact_text,1.0,ef99a425-baac-4a0b-87c0-4cc99d77f97d,Jack Ingram,Jack Ingram
Amy Winehouse,33,exact_text,1.0,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,Amy Winehouse,Amy Winehouse
The Black Keys,33,exact_text,1.0,d15721d8-56b4-453d-b506-fc915b14cba2,The Black Keys,The Black Keys
Swedish House Mafia Featuring John Martin,33,exact_text,1.0,99075985-0d80-4692-a15e-b16f78831792,Swedish House Mafia,Swedish House Mafia
Zedd Featuring Foxes,33,exact_text,1.0,56c4b861-0922-4c3a-a9b9-3bfcb00f8274,Zedd,Zedd
Idina Menzel,33,exact_text,1.0,929ca8c3-5df3-4fe9-bc59-f8d603780bce,Idina Menzel,Idina Menzel
JVKE,33,exact_text,1.0,f29e031f-c6b6-4d52-8edd-dc8e14378e74,JVKE,JVKE
Dorsey Burnette,32,exact_text,1.0,fde67061-08ed-43d1-bd77-29b13095d9ee,Dorsey Burnette,Dorsey Burnette
Donnie Brooks,32,exact_text,1.0,56f9c028-eb08-47e6-81d0-640a60786edf,Donnie Brooks,Donnie Brooks
The String-A-Longs,32,fuzzy,0.9412,6224c898-fe13-4781-8a47-f513924ca013,The String‐A‐Longs,The String‐A‐Longs
Bill Anderson,32,exact_text,1.0,189ede50-9c85-48b8-bae2-cb44ccd5b5c9,Bill Anderson,Bill Anderson
Bill Medley,32,exact_text,1.0,5a68345c-0ae8-4ec3-af35-38f2a39bcf0b,Bill Medley,Bill Medley
Peggy Scott & Jo Jo Benson,32,exact_text,1.0,d0654a00-d34a-4db8-bff4-e9e8e02393c6,Peggy Scott & Jo Jo Benson,Peggy Scott & Jo Jo Benson
The Jimmy Castor Bunch,32,exact_text,1.0,60a6cae9-9fd2-4ec8-b890-2751f991c54b,The Jimmy Castor Bunch,The Jimmy Castor Bunch
New York City,32,exact_text,1.0,d43dee96-c96d-4f4a-8a23-33bcb35fb6b8,New York City,New York City
"Billy ""Crash"" Craddock",32,exact_text,1.0,643d2a1e-39b3-4a0c-80cd-8cdf59276d61,Billy “Crash” Craddock,Billy “Crash” Craddock
Elvin Bishop,32,exact_text,1.0,b1768592-294e-4e15-a892-eb8837dec3e4,Elvin Bishop,Elvin Bishop
High Inergy,32,exact_text,1.0,bf696c97-ce56-4fc5-993d-81cd28d13a80,High Inergy,High Inergy
Randy Newman,32,exact_text,1.0,da7bb7d8-557d-4635-9ca1-e6e985525bd5,Randy Newman,Randy Newman
Sugarhill Gang,32,exact_normalized,1.0,336f2e14-b064-45c8-8b2a-01663a0bee64,The Sugarhill Gang,The Sugarhill Gang
Ray| Goodman & Brown,32,exact_text,1.0,5b117c65-daf8-4bab-81ba-fd1275812bfd,"Ray, Goodman & Brown","Ray, Goodman & Brown"
Yarbrough & Peoples,32,exact_text,1.0,68f13dd2-181f-4e71-b563-0030b12545d7,Yarbrough & Peoples,Yarbrough & Peoples
Michael Sembello,32,exact_text,1.0,fcde7037-181e-437f-9417-60a38958c0fa,Michael Sembello,Michael Sembello
Peter Schilling,32,exact_text,1.0,bc6be178-3933-44ad-88a7-fde1a160bc29,Peter Schilling,Peter Schilling
Twisted Sister,32,exact_text,1.0,c6122fee-089f-41c4-a34f-e5f7e5607b05,Twisted Sister,Twisted Sister
Paul Hardcastle,32,exact_text,1.0,58e2800d-991d-4fe9-860b-1d27931ae8de,Paul Hardcastle,Paul Hardcastle
The Dream Academy,32,exact_text,1.0,d0f7f125-5403-4f2e-b7b7-2ba8ef43836e,The Dream Academy,The Dream Academy
Stryper,32,exact_text,1.0,89621490-e0ef-4915-8b1f-6ad57dba3d7a,Stryper,Stryper
Faith No More,32,exact_text,1.0,b15ebd71-a252-417d-9e1c-3e6863da68f8,Faith No More,Faith No More
Joey Lawrence,32,exact_text,1.0,6c29aa61-e85b-48dd-9306-e74b295a5967,Joey Lawrence,Joey Lawrence
Rappin' 4-Tay,32,fuzzy,0.9565,44223a23-a89a-4815-9eab-e36ce9d0ebae,Rappin’ 4‐Tay,Rappin’ 4‐Tay
Method Man,32,exact_text,1.0,94dbfe2e-ca48-4e08-a5a8-e1e74136c63d,Method Man,Method Man
Filter,32,exact_text,1.0,6ae51665-8261-4ae5-883f-1899651ad31b,Filter,Filter
Goodie Mob,32,exact_text,1.0,ade9b668-e38f-41a8-a6e5-51442c5d6468,Goodie Mob,Goodie Mob
Shawn Colvin,32,exact_text,1.0,42222090-c5e5-4243-8582-c29bc8b63ec6,Shawn Colvin,Shawn Colvin
Mase,32,exact_text,1.0,76716b81-e361-427e-a931-19373388387d,Mase,Mase
Beenie Man,32,exact_text,1.0,0d85b9f2-802d-48bb-aa85-6a9668869053,Beenie Man,Beenie Man
3LW,32,exact_text,1.0,fc9d0b71-d338-43bc-b2b1-f3f6d8f75b99,3LW,3LW
Moby Featuring Gwen Stefani,32,exact_text,1.0,8970d868-0723-483b-a75b-51088913d3d4,Moby,Moby
YoungBloodZ Featuring Lil Jon,32,exact_text,1.0,c365bae6-5dcc-406f-a27b-0adc693f068d,YoungBloodZ,YoungBloodZ
Daniel Powter,32,exact_text,1.0,32cfbaf8-87aa-466b-9c1a-331ad9075ea2,Daniel Powter,Daniel Powter
Matt Nathanson,32,exact_text,1.0,e28dbf43-a2d9-4651-908f-1879ad67d30e,Matt Nathanson,Matt Nathanson
Waka Flocka Flame Featuring Roscoe Dash & Wale,32,exact_text,1.0,59eda569-b380-4958-b98c-051d1667b3e1,Waka Flocka Flame,Waka Flocka Flame
Fitz And The Tantrums,32,exact_text,1.0,8560d4e8-05e2-4c20-980b-ad2db445dd5d,Fitz and the Tantrums,Fitz and the Tantrums
Hailee Steinfeld,32,exact_text,1.0,373f5bcf-f1ce-4515-83ed-0b8ed636bc14,Hailee Steinfeld,Hailee Steinfeld
Bebe Rexha,32,exact_text,1.0,db8fad3a-e131-47a1-8782-c2ee93708cdd,Bebe Rexha,Bebe Rexha
Matt Stell,32,exact_text,1.0,ec266781-dd3d-42fd-9db0-b0a841fbaed0,Matt Stell,Matt Stell
Em Beihold,32,exact_text,1.0,7575e3b8-ba04-4acc-a895-9cc528f86525,Em Beihold,Em Beihold
Sexyy Red,32,exact_text,1.0,0953d634-b964-4f2a-b862-8de475aeaf47,Sexyy Red,Sexyy Red
June Valli,31,exact_text,1.0,91af5ba9-4601-457a-ac13-f95d977070b2,June Valli,June Valli
Wilbert Harrison,31,exact_text,1.0,4d12dcc2-ab89-4f68-aa7b-0939a839a068,Wilbert Harrison,Wilbert Harrison
Percy Faith And His Orchestra,31,exact_text,1.0,c5df455e-1a85-4917-aa4d-598f440abf08,Percy Faith and His Orchestra,Percy Faith and His Orchestra
